nom_cours,id_prof,nom_prof,prenom_prof,etablissement,annee,id_cours
recueil de donnees et statistiques,Xibin_WANG,WANG,Xibin,Nanterre,2023-2024,recueil_de_donnees_et_statistiques_2023_2024
redaction professionnelle,,,,Nanterre,2023-2024,redaction_professionnelle_2023_2024
semantique computationnelle,Pascal_AMSILI,AMSILI,Pascal,SorbonneNouvelle,2024-2025,semantique_computationnelle_2024_2025
semantique des textes multilingues 1,Mathieu_VALETTE,VALETTE,Mathieu,Inalco,2024-2025,semantique_des_textes_multilingues_1_2024_2025
semantique lexicale et textuelle,Mathieu_VALETTE,VALETTE,Mathieu,Inalco,2023-2024,semantique_lexicale_et_textuelle_2023_2024
seminaire tal et linguistique de corpus,Iris_ESHKOL-TARAVELLA,ESHKOL-TARAVELLA,Iris,Nanterre,2024-2025,seminaire_tal_et_linguistique_de_corpus_2024_2025
sens multiple,,,,SorbonneNouvelle,2023-2024,sens_multiple_2023_2024
sociolinguistique,James_COSTA,COSTA,James,SorbonneNouvelle,2023-2024,sociolinguistique_2023_2024
statistiques textuelles,Damien_NOUVEL,NOUVEL,Damien,Inalco,2023-2024,statistiques_textuelles_2023_2024
synthese de la parole,Cedric_GENDROT,GENDROT,Cedric,SorbonneNouvelle,2023-2024,synthese_de_la_parole_2023_2024
traduction automatique et assistee,Nasredine_SEMMAR,SEMMAR,Nasredine,Inalco,2023-2024,traduction_automatique_et_assistee_2023_2024
traitement statistique de corpus,Damien_NOUVEL,NOUVEL,Damien,Inalco,2024-2025,traitement_statistique_de_corpus_2024_2025
